date,newUsers,averageSessionDuration,bounceRate,en_click_facebook,en_click_viber,en_click_wa,en_click_call,en_click_inst,en_click_mail,en_fill_any_form
2024-06-17,4,108.8572305,0.5,,,,,,,
2024-06-18,4,72.95017628571428,0.42857142857142855,,,,,,,
2024-06-19,1,0.0,1.0,,,,,,,
2024-06-20,3,37.10000766666666,0.6666666666666666,,,,,,,
2024-06-21,3,11.414532,0.6666666666666666,,,,,,,
2024-06-22,1,0.0,1.0,,,,,,,
2024-06-23,1,0.0,1.0,,,,,,,
2024-06-25,4,12.4482965,0.75,,,,,,,
2024-06-26,2,14.918397,0.5,,,,,,,
2024-06-27,2,45.6675705,0.5,,,,,,,
2024-06-29,1,118.300938,0.0,,,,,,,
2024-06-30,3,157.01107233333332,0.3333333333333333,,,,,,,
2024-07-01,2,15.8075735,0.5,,,,,,,
2024-07-03,1,37.323516,0.0,,,,,,,
2024-07-04,1,82.626359,0.5,,,,,,,
2024-07-05,3,27.844855666666664,0.3333333333333333,,,,,,,
2024-07-06,1,0.0,1.0,,,,,,,
2024-07-09,2,0.0,1.0,,,,,,,
2024-07-10,2,49.6048,0.5,,,,,,,
2024-07-11,1,22.539762,0.0,,,,,,,
2024-07-14,2,0.0,1.0,,,,,,,
2024-07-15,1,38.496745,0.0,,,,,,,
2024-07-16,3,0.0,1.0,,,,,,,
2024-07-17,3,759.8928547777779,0.7777777777777778,,,,1.0,,,
2024-07-18,2,88.0717735,0.25,,,,,,,
2024-07-19,1,11.8462025,0.0,,,,,,,
2024-07-21,0,0.0,1.0,,,,,,,
2024-07-23,1,2877.3812385,0.0,1.0,,1.0,,1.0,,
2024-07-24,2,1117.739255,0.0,,,,,,,
2024-07-25,0,295.420342,0.0,,,,,,,
2024-07-27,0,0.0,1.0,,,,,,,
2024-07-29,3,14.539947,0.5,,,,,,,
2024-07-30,0,13.899037,0.0,,,,,,,
2024-07-31,0,448.083128,0.0,,,,,,,
2024-08-01,0,384.2636115,0.0,,,,,,,
2024-08-02,6,722.920650875,0.25,,,1.0,,,,
2024-08-03,1,0.0,1.0,,,,,,,
2024-08-06,2,2.8869093333333335,1.0,,,,,,,
2024-08-07,1,0.0,1.0,,,,,,,
2024-08-08,0,1360.27541875,0.5,,,,,,4.0,1.0
2024-08-09,1,573.966943,0.6666666666666666,,,,,,,
2024-08-12,5,571.2500063333333,0.3333333333333333,,,,,,,
2024-08-13,2,958.32344975,0.0,,,,,,,
2024-08-14,9,81.18289691666666,0.5,,,,,,,
2024-08-15,43,114.44595022641509,0.8679245283018868,1.0,3.0,,,,,
2024-08-16,16,2.6755839999999997,0.9473684210526315,,,,,,,
2024-08-17,5,26.731368,0.25,,,,,,,
2024-08-18,6,19.988726571428572,0.5714285714285714,,,,,,,
2024-08-19,5,39.96116,0.0,,,,,,,
2024-08-20,7,19.634172000000003,0.7142857142857143,,,,,,,
2024-08-21,11,136.00765369230768,0.46153846153846156,,,,,,,
2024-08-22,8,331.18167669999997,0.7,,,,,,,
2024-08-23,2,4.7119805,1.0,,,,,,,
2024-08-24,7,63.46393128571429,0.5714285714285714,,,,,,,
2024-08-25,10,102.19410500000001,0.6,,,,,,,
2024-08-26,3,6.092162666666667,0.6666666666666666,,,,,1.0,,
2024-08-27,3,29.280888,0.75,,,,,,,
2024-08-28,15,0.6875927999999999,0.9333333333333333,,,,,,,
2024-08-29,6,12.198770333333334,0.6666666666666666,,,,,,,
2024-08-30,9,18.412312,0.7777777777777778,,,,,,,
2024-08-31,5,10.6015046,0.6,,,,,,,
2024-09-01,1,0.0,1.0,,,,,,,
2024-09-02,1,0.0,1.0,,,,,,,
2024-09-03,2,100.7437355,0.5,,,,,,,
2024-09-04,5,51.06384116666666,0.16666666666666666,,,,,,,
2024-09-05,8,276.84985466666666,0.4666666666666667,,,,,,,
2024-09-06,7,64.22083042857143,0.5714285714285714,,,,,,,
2024-09-07,2,29.778530333333332,0.3333333333333333,,,,,,,
2024-09-08,5,25.527651,0.6,,,,,,,
2024-09-09,2,7.0975535,0.5,,,,,,,
2024-09-10,3,19.89567125,0.5,,,,,,,
2024-09-11,1,688.6911729999999,0.5,,,,,,,
2024-09-12,2,261.4558123333333,0.3333333333333333,,,,,,,
2024-09-13,2,16.5011335,0.5,,,,,,,
2024-09-14,1,0.0,1.0,,,,,,,
2024-09-16,1,74.93992,0.0,1.0,,,,1.0,,
2024-09-17,1,0.0,1.0,,,,,,,
2024-09-18,2,47.0470364,0.6,,,,,,,
2024-09-19,2,66.1023095,0.5,,,,,,,
2024-09-20,3,503.9356266,0.0,,,,,,,
2024-09-23,3,53.18543875,0.0,,,,,,,
2024-09-25,2,15.1231655,0.5,,,,,,,
2024-09-26,7,7.403045875,0.625,,,,,,,
2024-09-27,1,0.0,1.0,,,,,,,
2024-09-29,4,85.6943075,0.8333333333333334,,,,,,,
2024-09-30,3,20.655465,0.75,,,,,,,
2024-10-02,0,12.63286,0.0,,,,,,,
2024-10-03,0,846.940146,0.5,,,,,,,
2024-10-07,1,17.923114,0.5,,,,,,,
2024-10-08,1,0.0,1.0,,,,,,,
2024-10-09,1,0.0,1.0,,,,,,,
2024-10-10,3,2.2632484,1.0,,,,,,,
2024-10-11,1,0.0,1.0,,,,,,,
2024-10-14,0,0.0,1.0,,,,,,,
2024-10-16,1,0.0,1.0,,,,,,,
2024-10-17,2,0.0,1.0,,,,,,,
2024-10-18,0,8.911919,0.5,,,,,,,
2024-10-20,1,0.0,1.0,,,,,,,
2024-10-24,2,4.79505,1.0,,,,,,,
2024-10-25,1,0.0,1.0,,,,,,,
2024-10-27,1,4.980596,1.0,,,,,,,
2024-10-28,1,171.721873,0.0,,,,,,,
2024-10-29,1,370.438422,0.0,,,,,,,
2024-11-07,3,2.976322,1.0,,,,,,,
2024-11-08,1,0.0,1.0,,,,,,,
2024-11-15,2,75.357841,0.5,,,,,,,
2024-11-18,1,89.322043,0.0,,,,,,,
2024-11-21,2,3.1984515,1.0,,,,,,,
2024-11-22,2,0.0,1.0,,,,,,,
2024-11-27,1,73.608416,0.0,,,,,,,
2024-11-29,1,110.063974,0.0,,,,,,,
2024-12-05,2,4.561456,1.0,,,,,,,
2024-12-06,1,0.0,1.0,,,,,,,
2024-12-09,3,9.50864125,0.25,,,,,,,
2024-12-10,0,2.876315,0.0,,,,,,,
2024-12-13,0,314.508365,0.5,,,,,,,
2024-12-16,1,0.0,1.0,,,,,,,
2024-12-17,1,0.0,1.0,,,,,,,
2024-12-19,2,4.78218,1.0,,,,,,,
2024-12-20,2,2.3200356666666666,0.6666666666666666,,,,,,,
2024-12-22,1,0.0,1.0,,,,,,,
2024-12-29,4,2.445110166666667,0.8333333333333334,,,,,,,
2024-12-30,1,75.72846266666666,0.6666666666666666,,,,,,,
2024-12-31,0,0.0,1.0,,,,,,,
Last updated,,2025-12-10 02:48:34,,,,,,,,
